Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-24,The Monkey,2025,https://boxd.it/8WnWuZ,3,,,2025-02-24
2025-02-26,Conclave,2024,https://boxd.it/8Xadcp,3.5,,,2025-02-25
2025-03-03,Dog,2017,https://boxd.it/90EQLF,,,,2025-03-02
